Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES
Row0,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O
Row1,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O
Row2,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O
Row3,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O
Row4,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row5,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row6,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)cn1
Row7,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1
Row8,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row9,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row10,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)c1
Row11,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)c1
Row12,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row13,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row14,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row15,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row16,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O
Row17,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O
Row18,CHEMBL1092849,11a,IP,=,430,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2cnccc2c1=O
Row19,CHEMBL1092849,11a,IP,=,430,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2cnccc2c1=O
Row20,CHEMBL1092988,11c,IP,=,250,nM,CHEMBL1156154,Cc1ccn(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4ccncc43)cc2)n1
Row21,CHEMBL1092988,11c,IP,=,250,nM,CHEMBL1156154,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4ccncc43)cc2)n1
Row22,CHEMBL1093212,10y,Activity,=,200,nM,CHEMBL1156223,CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row23,CHEMBL1093212,10y,Activity,=,200,nM,CHEMBL1156223,CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row24,CHEMBL1093497,10i,Activity,=,420,nM,CHEMBL1156223,Nc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)nc2)c1
Row25,CHEMBL1093497,10i,Activity,=,420,nM,CHEMBL1156223,Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)nc2)c1
Row26,CHEMBL1093538,12e,IP,=,340,nM,CHEMBL1156154,Cc1cn(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4cccnc43)cc2)cn1
Row27,CHEMBL1093538,12e,IP,=,340,nM,CHEMBL1156154,Cc1cn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)cn1
Row28,CHEMBL1093810,16k,IP,=,500,nM,CHEMBL1156154,CN(C)c1ccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)cn1
Row29,CHEMBL1093810,16k,IP,=,500,nM,CHEMBL1156154,CN(C)c1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1
Row30,CHEMBL1093895,16g,IP,=,150,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)cc2)cn1
Row31,CHEMBL1093895,16g,IP,=,150,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)cc2)cn1
Row32,CHEMBL1093896,16h,IP,=,38,nM,CHEMBL1156154,Nc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)c1
Row33,CHEMBL1093896,16h,IP,=,38,nM,CHEMBL1156154,Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)c1
Row34,CHEMBL1683359,4h,IP,=,460,nM,CHEMBL1681740,O=C([O-])c1cc(C[NH+]2CCC(c3ccc(C(F)(F)F)cc3)CC2)c2ccccn2c1=O
Row35,CHEMBL1683359,4h,IP,=,460,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCC(c3ccc(C(F)(F)F)cc3)CC2)c2ccccn2c1=O
Row36,CHEMBL1683377,4z,IP,=,120,nM,CHEMBL1681740,O=C([O-])c1cc(C[NH+]2CCC(c3nc4ccccc4[nH]3)CC2)c2ccccn2c1=O
Row37,CHEMBL1683377,4z,IP,=,120,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCC(c3nc4ccccc4[nH]3)CC2)c2ccccn2c1=O
Row38,CHEMBL1683379,10,IP,=,80,nM,CHEMBL1681740,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O
Row39,CHEMBL1683379,10,IP,=,80,nM,CHEMBL1681740,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O
Row40,CHEMBL1683383,9d,IP,=,330,nM,CHEMBL1681740,O=C([O-])c1cc(C[N@@H+]2CCc3cc(Cl)ccc3C2)c2ccccn2c1=O
Row41,CHEMBL1683383,9d,IP,=,330,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3cc(Cl)ccc3C2)c2ccccn2c1=O
Row42,CHEMBL1683395,9p,IP,=,390,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3cc(-c4ccncc4)ccc3C2)c2ccccn2c1=O
Row43,CHEMBL1683395,9p,IP,=,390,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3cc(-c4ccncc4)ccc3C2)c2ccccn2c1=O
Row44,CHEMBL1683397,9s,IP,=,340,nM,CHEMBL1681740,CCOC(=O)[C@H]1c2ccccc2CCN1Cc1cc(C(=O)[O-])c(=O)n2ccccc12
Row45,CHEMBL1683397,9s,IP,=,340,nM,CHEMBL1681740,CCOC(=O)[C@H]1c2ccccc2CCN1Cc1cc(C(=O)O)c(=O)n2ccccc12
Row46,CHEMBL1683401,9w,IP,=,150,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3ccccc3[C@H]2c2ccccc2F)c2ccccn2c1=O
Row47,CHEMBL1683401,9w,IP,=,150,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3ccccc3[C@H]2c2ccccc2F)c2ccccn2c1=O
Row48,CHEMBL1683402,9x,IP,=,53,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3ccccc3[C@@H]2c2ccncc2)c2ccccn2c1=O
Row49,CHEMBL1683402,9x,IP,=,53,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3ccccc3[C@@H]2c2ccncc2)c2ccccn2c1=O
Row50,CHEMBL1770168,9a,IP,=,69,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2cccc(F)c2c1=O
Row51,CHEMBL1770168,9a,IP,=,69,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2cccc(F)c2c1=O
Row52,CHEMBL1771697,9h,IP,=,81,nM,CHEMBL1770115,O=C1Cc2cc(Cn3cc(C(=O)[O-])c(=O)c4c(F)cccc43)ccc2N1
Row53,CHEMBL1771697,9h,IP,=,81,nM,CHEMBL1770115,O=C1Cc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc2N1
Row54,CHEMBL1771702,9m,IP,=,84,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3c(c2)OCCO3)c2cccc(F)c2c1=O
Row55,CHEMBL1771702,9m,IP,=,84,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3c(c2)OCCO3)c2cccc(F)c2c1=O
Row56,CHEMBL1771703,9n,IP,=,97,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3c(c2)CC[C@@H]3O)c2cccc(F)c2c1=O
Row57,CHEMBL1771703,9n,IP,=,97,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3c(c2)CC[C@@H]3O)c2cccc(F)c2c1=O
Row58,CHEMBL1771705,6a,IP,=,270,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccccc2)c2c(F)cccc2c1=O
Row59,CHEMBL1771705,6a,IP,=,270,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccccc2)c2c(F)cccc2c1=O
Row60,CHEMBL1771769,6b,IP,=,240,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccccc2F)c2c(F)cccc2c1=O
Row61,CHEMBL1771769,6b,IP,=,240,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccccc2F)c2c(F)cccc2c1=O
Row62,CHEMBL1771770,6c,IP,=,370,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2cccc(F)c2)c2c(F)cccc2c1=O
Row63,CHEMBL1771770,6c,IP,=,370,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2cccc(F)c2)c2c(F)cccc2c1=O
Row64,CHEMBL1771771,6d,IP,=,120,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccc(F)cc2)c2c(F)cccc2c1=O
Row65,CHEMBL1771771,6d,IP,=,120,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccc(F)cc2)c2c(F)cccc2c1=O
Row66,CHEMBL1771773,6f,IP,=,250,nM,CHEMBL1770115,Cc1cccc(/C=C/Cn2cc(C(=O)[O-])c(=O)c3cccc(F)c32)c1
Row67,CHEMBL1771773,6f,IP,=,250,nM,CHEMBL1770115,Cc1cccc(/C=C/Cn2cc(C(=O)O)c(=O)c3cccc(F)c32)c1
Row68,CHEMBL1771777,6j,IP,=,380,nM,CHEMBL1770115,COc1ccc(/C=C/Cn2cc(C(=O)[O-])c(=O)c3cccc(F)c32)cc1
Row69,CHEMBL1771777,6j,IP,=,380,nM,CHEMBL1770115,COc1ccc(/C=C/Cn2cc(C(=O)O)c(=O)c3cccc(F)c32)cc1
Row70,CHEMBL1771778,6k,IP,=,320,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccc(Cl)cc2)c2c(F)cccc2c1=O
Row71,CHEMBL1771778,6k,IP,=,320,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccc(Cl)cc2)c2c(F)cccc2c1=O
Row72,CHEMBL1771784,7,IP,=,80,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2c(F)cccc2c1=O
Row73,CHEMBL1771784,7,IP,=,80,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2c(F)cccc2c1=O
Row74,CHEMBL1771785,8,IP,=,266,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2c(F)ccc(F)c2c1=O
Row75,CHEMBL1771785,8,IP,=,266,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2c(F)ccc(F)c2c1=O
Row76,CHEMBL1771787,9c,IP,=,459,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3ncccc3c2)c2cccc(F)c2c1=O
Row77,CHEMBL1771787,9c,IP,=,459,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3ncccc3c2)c2cccc(F)c2c1=O
Row78,CHEMBL1771789,9e,IP,=,142,nM,CHEMBL1770115,Cn1cc2cc(Cn3cc(C(=O)[O-])c(=O)c4c(F)cccc43)ccc2n1
Row79,CHEMBL1771789,9e,IP,=,142,nM,CHEMBL1770115,Cn1cc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc2n1
Row80,CHEMBL1771790,9f,IP,=,72,nM,CHEMBL1770115,Cn1ncc2cc(Cn3cc(C(=O)[O-])c(=O)c4c(F)cccc43)ccc21
Row81,CHEMBL1771790,9f,IP,=,72,nM,CHEMBL1770115,Cn1ncc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc21
Row82,CHEMBL1771791,9g,IP,=,104,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3[nH]ncc3c2)c2cccc(F)c2c1=O
Row83,CHEMBL1771791,9g,IP,=,104,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3[nH]ncc3c2)c2cccc(F)c2c1=O
Row84,CHEMBL1800283,4u,IP,=,244,nM,CHEMBL1799933,N#CC1(c2cc(F)ccn2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row85,CHEMBL1800283,4u,IP,=,244,nM,CHEMBL1799933,N#CC1(c2cc(F)ccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row86,CHEMBL1800284,4v,IP,=,224,nM,CHEMBL1799933,COc1ccnc(C2(C#N)CC[NH+](Cc3cc(C(=O)[O-])c(=O)n4ccccc34)CC2)c1
Row87,CHEMBL1800284,4v,IP,=,224,nM,CHEMBL1799933,COc1ccnc(C2(C#N)CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)c1
Row88,CHEMBL1800285,4i,IP,=,135,nM,CHEMBL1799933,N#CC1(c2ccccn2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row89,CHEMBL1800285,4i,IP,=,135,nM,CHEMBL1799933,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row90,CHEMBL1800879,4a,IP,=,151,nM,CHEMBL1799933,N#CC1(c2ccccc2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row91,CHEMBL1800879,4a,IP,=,151,nM,CHEMBL1799933,N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row92,CHEMBL1800881,4c,IP,=,81,nM,CHEMBL1799933,N#CC1(c2ccccc2F)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row93,CHEMBL1800881,4c,IP,=,81,nM,CHEMBL1799933,N#CC1(c2ccccc2F)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row94,CHEMBL1800883,4e,IP,=,194,nM,CHEMBL1799933,N#CC1(c2ccc(F)cc2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row95,CHEMBL1800883,4e,IP,=,194,nM,CHEMBL1799933,N#CC1(c2ccc(F)cc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row96,CHEMBL1800884,4f,IP,=,68,nM,CHEMBL1799933,Cc1ccccc1C1(C#N)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row97,CHEMBL1800884,4f,IP,=,68,nM,CHEMBL1799933,Cc1ccccc1C1(C#N)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row98,CHEMBL1800885,4g,IP,=,88,nM,CHEMBL1799933,Cc1cccc(C2(C#N)CC[NH+](Cc3cc(C(=O)[O-])c(=O)n4ccccc34)CC2)c1
